"Group_name","IU_ID","IU_ID2"
"0","18830","ETH18830"
"0","19017","ETH19017"
"0","19278","ETH19278"
"0","19290","ETH19290"
"0","19291","ETH19291"
"0","19292","ETH19292"
"0","19300","ETH19300"
"0","19319","ETH19319"
"0","19321","ETH19321"
"0","19324","ETH19324"
"0","19341","ETH19341"
"0","19362","ETH19362"
"0","19363","ETH19363"
"0","19364","ETH19364"
"0","18740","ETH18740"
"0","18749","ETH18749"
"0","18751","ETH18751"
"0","18785","ETH18785"
"0","18823","ETH18823"
"0","18827","ETH18827"
"0","18836","ETH18836"
"0","18845","ETH18845"
"0","18856","ETH18856"
"0","18859","ETH18859"
"0","18863","ETH18863"
"0","18873","ETH18873"
"0","18897","ETH18897"
"0","18898","ETH18898"
"0","18954","ETH18954"
"0","18956","ETH18956"
"0","18985","ETH18985"
"0","18999","ETH18999"
"0","19009","ETH19009"
"0","19027","ETH19027"
"0","19130","ETH19130"
"0","19142","ETH19142"
"0","19165","ETH19165"
"0","19200","ETH19200"
"0","19217","ETH19217"
"0","19369","ETH19369"
"0","19379","ETH19379"
"0","19439","ETH19439"
"0","19440","ETH19440"
"0","19441","ETH19441"
"0","19471","ETH19471"
"0","19475","ETH19475"
"0","19476","ETH19476"
"0","19483","ETH19483"
"0","19491","ETH19491"
"0","19504","ETH19504"
"0","19528","ETH19528"
"0","19586","ETH19586"
"0","19587","ETH19587"
"0","52964","ETH52964"
"0","18753","ETH18753"
"0","18762","ETH18762"
"0","18790","ETH18790"
"0","18816","ETH18816"
"0","18829","ETH18829"
"0","18835","ETH18835"
"0","18855","ETH18855"
"0","18864","ETH18864"
