"Group_name","IU_ID","IU_ID2"
"0","19239","ETH19239"
"0","19545","ETH19545"
"0","19427","ETH19427"
"0","19502","ETH19502"
"0","18623","ETH18623"
"0","18671","ETH18671"
"0","18543","ETH18543"
"0","18566","ETH18566"
"0","18615","ETH18615"
"0","18643","ETH18643"
"0","18676","ETH18676"
"0","18591","ETH18591"
"0","18618","ETH18618"
"0","19295","ETH19295"
"0","18746","ETH18746"
"0","18795","ETH18795"
"0","19219","ETH19219"
"0","19376","ETH19376"
"0","19480","ETH19480"
"0","18905","ETH18905"
"0","18766","ETH18766"
"0","18536","ETH18536"
"0","18552","ETH18552"
"0","19355","ETH19355"
"0","18553","ETH18553"
"0","18569","ETH18569"
"0","18597","ETH18597"
"0","18637","ETH18637"
"0","18640","ETH18640"
"0","18642","ETH18642"
"0","18648","ETH18648"
"0","18654","ETH18654"
"0","18656","ETH18656"
"0","19160","ETH19160"
"0","19542","ETH19542"
"0","19251","ETH19251"
"0","19540","ETH19540"
"0","19231","ETH19231"
"0","19541","ETH19541"
"0","18747","ETH18747"
"0","18555","ETH18555"
"0","18571","ETH18571"
"0","18534","ETH18534"
"0","19425","ETH19425"
"0","18551","ETH18551"
"0","18638","ETH18638"
"0","18639","ETH18639"
"0","19207","ETH19207"
"0","19428","ETH19428"
"0","18604","ETH18604"
"0","18624","ETH18624"
"0","18629","ETH18629"
"0","18550","ETH18550"
"0","18558","ETH18558"
"0","18559","ETH18559"
"0","18560","ETH18560"
"0","18581","ETH18581"
"0","18614","ETH18614"
"0","18619","ETH18619"
"0","18632","ETH18632"
"0","18667","ETH18667"
"0","18675","ETH18675"
