"Group_name","IU_ID","IU_ID2"
"0","19128","ETH19128"
"0","19573","ETH19573"
"0","18592","ETH18592"
"0","19163","ETH19163"
"0","19215","ETH19215"
"0","19564","ETH19564"
"0","19565","ETH19565"
"0","19250","ETH19250"
"0","19563","ETH19563"
"0","19577","ETH19577"
"0","19126","ETH19126"
"0","19164","ETH19164"
"0","19434","ETH19434"
"0","19512","ETH19512"
"0","19154","ETH19154"
"0","19580","ETH19580"
"0","18631","ETH18631"
"0","18669","ETH18669"
"0","18635","ETH18635"
"0","18542","ETH18542"
"0","18621","ETH18621"
"0","18653","ETH18653"
"0","18546","ETH18546"
"0","18570","ETH18570"
"0","18573","ETH18573"
"0","18578","ETH18578"
"0","18579","ETH18579"
"0","18588","ETH18588"
"0","18590","ETH18590"
"0","18606","ETH18606"
"0","18651","ETH18651"
"0","18659","ETH18659"
"0","19344","ETH19344"
"0","19347","ETH19347"
"0","19449","ETH19449"
"0","19451","ETH19451"
"0","19454","ETH19454"
"0","19350","ETH19350"
"0","19558","ETH19558"
"0","19559","ETH19559"
"0","19560","ETH19560"
"0","19561","ETH19561"
"0","18645","ETH18645"
"0","18594","ETH18594"
"0","18628","ETH18628"
"0","19348","ETH19348"
"0","19352","ETH19352"
"0","18678","ETH18678"
"0","18646","ETH18646"
"0","18603","ETH18603"
"0","18596","ETH18596"
"0","18601","ETH18601"
"0","18613","ETH18613"
"0","18664","ETH18664"
"0","18502","ETH18502"
"0","19299","ETH19299"
"0","19304","ETH19304"
"0","19288","ETH19288"
"0","18520","ETH18520"
"0","19431","ETH19431"
"0","19432","ETH19432"
"0","19433","ETH19433"
