"Group_name","IU_ID","IU_ID2"
"0","19134","ETH19134"
"0","19354","ETH19354"
"0","19456","ETH19456"
"0","18583","ETH18583"
"0","18630","ETH18630"
"0","18585","ETH18585"
"0","19149","ETH19149"
"0","19549","ETH19549"
"0","18589","ETH18589"
"0","19450","ETH19450"
"0","18537","ETH18537"
"0","19576","ETH19576"
"0","18544","ETH18544"
"0","19455","ETH19455"
"0","19353","ETH19353"
"0","19212","ETH19212"
"0","54269","KEN54269"
"0","54050","KEN54050"
"0","54287","KEN54287"
"0","54290","KEN54290"
"0","54006","KEN54006"
"0","54264","KEN54264"
"0","54267","KEN54267"
"0","54247","KEN54247"
"0","54052","KEN54052"
"0","54055","KEN54055"
"0","54056","KEN54056"
"0","33101","MOZ33101"
"0","33104","MOZ33104"
"0","33105","MOZ33105"
"0","33106","MOZ33106"
"0","33107","MOZ33107"
"0","33108","MOZ33108"
"0","33109","MOZ33109"
"0","33111","MOZ33111"
"0","33115","MOZ33115"
"0","33116","MOZ33116"
"0","33184","MOZ33184"
"0","33190","MOZ33190"
"0","33173","MOZ33173"
"0","33174","MOZ33174"
"0","33186","MOZ33186"
"0","33259","MOZ33259"
"0","33177","MOZ33177"
"0","33181","MOZ33181"
"0","33182","MOZ33182"
"0","33156","MOZ33156"
"0","33160","MOZ33160"
"0","33153","MOZ33153"
"0","33238","MOZ33238"
"0","33244","MOZ33244"
"0","35391","NER35391"
"0","35296","NER35296"
"0","35308","NER35308"
"0","35311","NER35311"
"0","36491","NGA36491"
"0","36497","NGA36497"
"0","36501","NGA36501"
"0","36659","NGA36659"
"0","36665","NGA36665"
"0","37085","NGA37085"
"0","37086","NGA37086"
