"Group_name","IU_ID","IU_ID2"
"0","36765","NGA36765"
"0","37092","NGA37092"
"0","37081","NGA37081"
"0","37091","NGA37091"
"0","36776","NGA36776"
"0","37095","NGA37095"
"0","37088","NGA37088"
"0","37041","NGA37041"
"0","37055","NGA37055"
"0","44349","SSD44349"
"0","44362","SSD44362"
"0","44363","SSD44363"
"0","44364","SSD44364"
"0","44365","SSD44365"
"0","44366","SSD44366"
"0","44368","SSD44368"
"0","44369","SSD44369"
"0","44370","SSD44370"
"0","44367","SSD44367"
"0","44336","SSD44336"
"0","44328","SSD44328"
"0","44329","SSD44329"
"0","44334","SSD44334"
"0","44325","SSD44325"
"0","44330","SSD44330"
"0","44346","SSD44346"
"0","44327","SSD44327"
"0","44343","SSD44343"
"0","44381","SSD44381"
"0","44374","SSD44374"
"0","44377","SSD44377"
"0","44372","SSD44372"
"0","44341","SSD44341"
"0","10719","TCD10719"
"0","10729","TCD10729"
"0","46578","TZA46578"
"0","46522","TZA46522"
"0","46475","TZA46475"
"0","50821","ZMB50821"
"0","50890","ZMB50890"
"0","53169","ZMB53169"
"0","53191","ZMB53191"
"0","53192","ZMB53192"
"0","50889","ZMB50889"
"0","53193","ZMB53193"
"0","50885","ZMB50885"
"0","50891","ZMB50891"
"0","53195","ZMB53195"
"0","53196","ZMB53196"
"0","50857","ZMB50857"
"0","50886","ZMB50886"
"0","53189","ZMB53189"
"0","53194","ZMB53194"
"0","52922","ZWE52922"
"0","52910","ZWE52910"
"0","52911","ZWE52911"
"0","52918","ZWE52918"
"0","52917","ZWE52917"
"0","52912","ZWE52912"
"0","52951","ZWE52951"
"0","52957","ZWE52957"
"0","52948","ZWE52948"
