"Group_name","IU_ID","IU_ID2"
"0","46555","TZA46555"
"0","46556","TZA46556"
"0","46557","TZA46557"
"0","46559","TZA46559"
"0","46560","TZA46560"
"0","46561","TZA46561"
"0","46563","TZA46563"
"0","46567","TZA46567"
"0","46568","TZA46568"
"0","46570","TZA46570"
"0","46571","TZA46571"
"0","46572","TZA46572"
"0","46574","TZA46574"
"0","46576","TZA46576"
"0","46577","TZA46577"
"0","46578","TZA46578"
"0","46579","TZA46579"
"0","46580","TZA46580"
"0","46582","TZA46582"
"0","46583","TZA46583"
"0","46584","TZA46584"
"0","46585","TZA46585"
"0","46590","TZA46590"
"0","46591","TZA46591"
"0","46593","TZA46593"
"0","46594","TZA46594"
"0","46595","TZA46595"
"0","46596","TZA46596"
"0","46598","TZA46598"
"0","46600","TZA46600"
"0","46601","TZA46601"
"0","46602","TZA46602"
"0","46603","TZA46603"
"0","46604","TZA46604"
"0","46605","TZA46605"
"0","46606","TZA46606"
"0","46607","TZA46607"
"0","46608","TZA46608"
"0","46610","TZA46610"
"0","46611","TZA46611"
"0","46612","TZA46612"
"0","46613","TZA46613"
"0","46615","TZA46615"
"0","46616","TZA46616"
"0","46618","TZA46618"
"0","46620","TZA46620"
"0","46621","TZA46621"
"0","46626","TZA46626"
"0","46634","TZA46634"
"0","46635","TZA46635"
"0","46638","TZA46638"
"0","46639","TZA46639"
"0","46642","TZA46642"
"0","46643","TZA46643"
"0","46644","TZA46644"
"0","46645","TZA46645"
"0","46646","TZA46646"
"0","51892","TZZ51892"
"0","51894","TZZ51894"
"0","49706","UGA49706"
"0","49707","UGA49707"
"0","49708","UGA49708"
"0","49709","UGA49709"
"0","49710","UGA49710"
"0","49711","UGA49711"
"0","49712","UGA49712"
"0","49713","UGA49713"
"0","49714","UGA49714"
"0","49716","UGA49716"
"0","49718","UGA49718"
"0","49719","UGA49719"
"0","49720","UGA49720"
"0","49725","UGA49725"
"0","49729","UGA49729"
"0","49732","UGA49732"
"0","49733","UGA49733"
"0","49734","UGA49734"
"0","49736","UGA49736"
"0","49738","UGA49738"
"0","49739","UGA49739"
"0","49740","UGA49740"
"0","49743","UGA49743"
"0","49744","UGA49744"
"0","49746","UGA49746"
"0","49747","UGA49747"
"0","49748","UGA49748"
"0","49751","UGA49751"
"0","49754","UGA49754"
"0","49761","UGA49761"
"0","49763","UGA49763"
"0","49765","UGA49765"
"0","49766","UGA49766"
"0","49767","UGA49767"
"0","49768","UGA49768"
"0","49769","UGA49769"
"0","49770","UGA49770"
"0","49771","UGA49771"
"0","49772","UGA49772"
"0","49773","UGA49773"
"0","49778","UGA49778"
"0","49779","UGA49779"
"0","49782","UGA49782"
"0","49784","UGA49784"
"0","49792","UGA49792"
"0","49793","UGA49793"
"0","49796","UGA49796"
"0","49797","UGA49797"
"0","49798","UGA49798"
"0","49801","UGA49801"
"0","49802","UGA49802"
"0","49803","UGA49803"
"0","49804","UGA49804"
"0","49812","UGA49812"
"0","49816","UGA49816"
"0","49817","UGA49817"
"0","49818","UGA49818"
"0","49824","UGA49824"
"0","49827","UGA49827"
"0","49832","UGA49832"
"0","49833","UGA49833"
"0","49836","UGA49836"
"0","49838","UGA49838"
"0","49839","UGA49839"
"0","50818","ZMB50818"
"0","50819","ZMB50819"
"0","50821","ZMB50821"
"0","50822","ZMB50822"
"0","50823","ZMB50823"
"0","50824","ZMB50824"
"0","50825","ZMB50825"
"0","50826","ZMB50826"
"0","50827","ZMB50827"
"0","50828","ZMB50828"
"0","50829","ZMB50829"
"0","50830","ZMB50830"
"0","50831","ZMB50831"
"0","50832","ZMB50832"
"0","50833","ZMB50833"
"0","50834","ZMB50834"
"0","50835","ZMB50835"
"0","50836","ZMB50836"
"0","50837","ZMB50837"
"0","50838","ZMB50838"
"0","50839","ZMB50839"
"0","50840","ZMB50840"
"0","50841","ZMB50841"
"0","50842","ZMB50842"
"0","50843","ZMB50843"
"0","50844","ZMB50844"
"0","50845","ZMB50845"
"0","50846","ZMB50846"
"0","50847","ZMB50847"
"0","50848","ZMB50848"
"0","50849","ZMB50849"
"0","50850","ZMB50850"
"0","50851","ZMB50851"
"0","50852","ZMB50852"
"0","50854","ZMB50854"
"0","50855","ZMB50855"
"0","50856","ZMB50856"
"0","50857","ZMB50857"
"0","50858","ZMB50858"
"0","50859","ZMB50859"
"0","50860","ZMB50860"
"0","50861","ZMB50861"
"0","50862","ZMB50862"
"0","50863","ZMB50863"
"0","50864","ZMB50864"
"0","50865","ZMB50865"
"0","50866","ZMB50866"
"0","50867","ZMB50867"
"0","50868","ZMB50868"
"0","50869","ZMB50869"
"0","50870","ZMB50870"
"0","50871","ZMB50871"
"0","50872","ZMB50872"
"0","50873","ZMB50873"
"0","50874","ZMB50874"
"0","50876","ZMB50876"
"0","50877","ZMB50877"
"0","50883","ZMB50883"
"0","50884","ZMB50884"
"0","50885","ZMB50885"
"0","50886","ZMB50886"
"0","50888","ZMB50888"
"0","50889","ZMB50889"
"0","50890","ZMB50890"
"0","50891","ZMB50891"
"0","53166","ZMB53166"
"0","53167","ZMB53167"
"0","53168","ZMB53168"
"0","53169","ZMB53169"
"0","53170","ZMB53170"
"0","53171","ZMB53171"
"0","53172","ZMB53172"
"0","53173","ZMB53173"
"0","53174","ZMB53174"
"0","53175","ZMB53175"
"0","53176","ZMB53176"
"0","53177","ZMB53177"
"0","53178","ZMB53178"
