"Group_name","IU_ID","IU_ID2"
"87","27900","MDG27900"
"88","13880","COD13880"
"89","51901","TZZ51901"
"90","49767","UGA49767"
"91","27922","MDG27922"
"92","52940","ZWE52940"
"93","54276","KEN54276"
"94","28948","MWI28948"
"95","28950","MWI28950"
"96","54227","KEN54227"
"97","45405","SWZ45405"
"98","45411","SWZ45411"
"99","7482","CMR07482"
"100","7530","CMR07530"
"101","7422","CMR07422"
"102","7514","CMR07514"
"103","7475","CMR07475"
"104","7595","CMR07595"
"105","21526","GHA21526"
"106","19140","ETH19140"
"107","18957","ETH18957"
"108","36962","NGA36962"
"109","33134","MOZ33134"
"110","19034","ETH19034"
"111","33203","MOZ33203"
"112","23719","GNB23719"
"113","29998","MLI29998"
"114","18954","ETH18954"
"115","18818","ETH18818"
"116","36833","NGA36833"
"117","19122","ETH19122"
"118","18936","ETH18936"
"119","36789","NGA36789"
"120","49755","UGA49755"
"121","49768","UGA49768"
"122","49743","UGA49743"
"123","27856","MDG27856"
"124","49762","UGA49762"
"125","49782","UGA49782"
"126","38117","RWA38117"
"127","49729","UGA49729"
"128","49744","UGA49744"
"129","53189","ZMB53189"
