"Group_name","IU_ID","IU_ID2"
"130","50839","ZMB50839"
"131","13882","COD13882"
"132","54017","KEN54017"
"133","28962","MWI28962"
"134","50881","ZMB50881"
"135","45422","SWZ45422"
"136","7495","CMR07495"
"137","7464","CMR07464"
"138","7429","CMR07429"
"139","7606","CMR07606"
"140","5347","BFA05347"
"141","36426","NGA36426"
"142","37015","NGA37015"
"143","33156","MOZ33156"
"144","19281","ETH19281"
"145","49799","UGA49799"
"146","38112","RWA38112"
"147","27879","MDG27879"
"148","51899","TZZ51899"
"149","50847","ZMB50847"
"150","48677","TGO48677"
"151","7442","CMR07442"
"152","7588","CMR07588"
"153","36693","NGA36693"
"154","36635","NGA36635"
"155","27839","MDG27839"
"156","49794","UGA49794"
"157","49727","UGA49727"
"158","6377","BDI06377"
"159","50830","ZMB50830"
"160","7582","CMR07582"
"161","27877","MDG27877"
"162","6414","BDI06414"
"163","6404","BDI06404"
"164","6408","BDI06408"
"165","38118","RWA38118"
"166","38120","RWA38120"
"167","6399","BDI06399"
"168","6412","BDI06412"
"169","6419","BDI06419"
"170","6375","BDI06375"
