"Group_name","IU_ID","IU_ID2"
"1","9652","CAF09652"
"2","2183","AGO02183"
"3","44325","SSD44325"
"4","18571","ETH18571"
"5","16421","GNQ16421"
"6","2087","AGO02087"
"7","7446","CMR07446"
"8","18884","ETH18884"
"9","36600","NGA36600"
"10","53305","SDN53305"
"11","12798","COG12798"
"12","44373","SSD44373"
"13","19068","ETH19068"
"14","43269","ZAF43269"
"15","54253","KEN54253"
"16","37077","NGA37077"
"17","18892","ETH18892"
"18","33110","MOZ33110"
"19","14225","COD14225"
"20","27851","MDG27851"
"21","17451","ERI17451"
"22","18618","ETH18618"
"23","49802","UGA49802"
"24","49799","UGA49799"
"25","21427","GHA21427"
"26","42259","SLE42259"
"27","54254","KEN54254"
"28","18754","ETH18754"
"29","37014","NGA37014"
"30","27838","MDG27838"
"31","14100","COD14100"
"32","35336","NER35336"
"33","52938","ZWE52938"
"34","30013","MLI30013"
"35","19149","ETH19149"
"36","49748","UGA49748"
"37","7605","CMR07605"
"38","33171","MOZ33171"
"39","18657","ETH18657"
"40","26822","LBR26822"
"41","35331","NER35331"
"42","21507","GHA21507"
"43","18555","ETH18555"
"44","36881","NGA36881"
"45","35305","NER35305"
"46","51897","TZZ51897"
"47","54048","KEN54048"
"48","21421","GHA21421"
"49","18876","ETH18876"
"50","40212","SEN40212"
"51","49766","UGA49766"
"52","36611","NGA36611"
"53","14101","COD14101"
"54","33217","MOZ33217"
"55","33212","MOZ33212"
"56","46620","TZA46620"
"57","35309","NER35309"
"58","46463","TZA46463"
"59","18688","ETH18688"
"60","21424","GHA21424"
"61","18644","ETH18644"
"62","21474","GHA21474"
"63","30010","MLI30010"
"64","49732","UGA49732"
"65","36786","NGA36786"
"66","36892","NGA36892"
"67","26829","LBR26829"
"68","28953","MWI28953"
"69","18684","ETH18684"
"70","33202","MOZ33202"
"71","33240","MOZ33240"
"72","35325","NER35325"
"73","36876","NGA36876"
"74","35299","NER35299"
"75","17461","ERI17461"
"76","7482","CMR07482"
"77","2209","AGO02209"
"78","2204","AGO02204"
"79","40224","SEN40224"
"80","18641","ETH18641"
"81","49745","UGA49745"
"82","6387","BDI06387"
"83","33200","MOZ33200"
"84","30030","MLI30030"
"85","33254","MOZ33254"
"86","33235","MOZ33235"
"87","49710","UGA49710"
"88","36520","NGA36520"
"89","48693","TGO48693"
"90","29983","MLI29983"
"91","18585","ETH18585"
"92","48700","TGO48700"
"93","36898","NGA36898"
"94","48667","TGO48667"
"95","29988","MLI29988"
"96","36788","NGA36788"
"97","18903","ETH18903"
"98","28952","MWI28952"
"99","35298","NER35298"
"100","42258","SLE42258"
"101","49782","UGA49782"
"102","35303","NER35303"
"103","49725","UGA49725"
"104","51892","TZZ51892"
"105","33102","MOZ33102"
"106","30005","MLI30005"
"107","17467","ERI17467"
"108","49731","UGA49731"
"109","7575","CMR07575"
"110","21534","GHA21534"
"111","21560","GHA21560"
"112","7509","CMR07509"
"113","40210","SEN40210"
"114","18579","ETH18579"
"115","49805","UGA49805"
"116","35323","NER35323"
"117","33246","MOZ33246"
"118","21425","GHA21425"
"119","5347","BFA05347"
"120","35312","NER35312"
"121","28967","MWI28967"
"122","36509","NGA36509"
"123","48699","TGO48699"
"124","29984","MLI29984"
"125","28972","MWI28972"
"126","28954","MWI28954"
"127","28955","MWI28955"
"128","35327","NER35327"
"129","28948","MWI28948"
"130","51896","TZZ51896"
"131","15384","CIV15384"
"132","18616","ETH18616"
"133","48666","TGO48666"
"134","49740","UGA49740"
"135","35304","NER35304"
"136","33114","MOZ33114"
"137","48676","TGO48676"
"138","17441","ERI17441"
"139","49713","UGA49713"
"140","28961","MWI28961"
"141","48689","TGO48689"
"142","42256","SLE42256"
"143","28968","MWI28968"
"144","28969","MWI28969"
"145","51893","TZZ51893"
"146","49801","UGA49801"
"147","28959","MWI28959"
"148","49816","UGA49816"
"149","28963","MWI28963"
"150","48703","TGO48703"
"151","5330","BFA05330"
"152","35316","NER35316"
"153","5315","BFA05315"
"154","5326","BFA05326"
